name,1st_srv_won.1,2nd_srv_won.1,srv_rtg.1,ret_pct_won.1,rtn_rtg.1,gms_pct_won.1,tie_brk_won.1,set_pct_won.1,mtch_pct_won.1
Yuichi Sugita,0.6645,0.4836,307,0.3438,136.2,0.4527,,,
Jordan Thompson,0.7464,0.511,319.9,0.3289,118.8,0.4654,,,
Renzo Olivo,0.6877,0.4853,312.6,0.3607,126.9,0.4653,0.7273,,
Marco Chiudinelli,0.7434,0.4971,304.8,0.3423,134.6,0.4603,,,
Denis Kudla,0.7006,0.4738,304.2,0.3518,135.3,0.4498,0.5,0.3194,0.2857
Ivan Dodig,0.6939,0.4742,316,0.3461,134.7,0.4562,0.6364,0.4032,0.3043
Inigo Cervantes Huegun,0.7258,0.4781,303.1,0.3441,129.8,0.4592,0.3889,0.375,0.3611
Horacio Zeballos,0.7199,0.5107,330.5,0.2926,112.3,0.4576,,,0.35
Noah Rubin,0.6696,0.533,319.5,0.3225,109.7,,,,
Michael Berrer,0.6768,0.4493,320.7,0.3494,129.7,0.4557,,,
Dmitry Tursunov,0.6739,0.4829,311.8,0.3207,131.1,0.426,,,
Vasek Pospisil,0.7389,0.4846,316.2,0.317,115,0.452,0.5,0.3373,0.303
Benjamin Becker,0.7047,0.4478,304.1,0.3512,130.3,0.4495,,0.3582,0.3333
Adam Pavlasek,0.7064,0.4977,328,,,,,,
Kenny De Schepper,0.6505,0.5068,326.4,0.3359,109.8,,,,
Malek Jaziri,0.7356,0.4997,324.1,0.3438,125.8,0.4826,0.4091,0.4444,0.4103
Gerald Melzer,0.6573,0.4777,311.9,0.331,125.7,0.4429,,,
Thiago Monteiro,0.6721,0.5125,323,0.3284,125.3,0.4817,,,
Dennis Novikov,0.7161,0.4983,318.6,0.3267,124.9,0.4676,,,
Simone Bolelli,0.6738,0.4931,322.9,0.2958,105.9,0.428,,,
Austin Krajicek,0.713,0.4794,314.2,0.3319,122.6,0.4525,,,
Rogerio Dutra Silva,0.6685,0.483,296.8,0.3341,121.1,0.4214,,,
Tommy Robredo,0.6681,0.5069,320.7,0.3279,101.7,0.422,,,
Evgeny Donskoy,0.6835,0.5044,318,0.3347,120.4,0.4506,0.4667,0.3649,0.2593
Thiemo De Bakker,0.708,0.4783,315.4,0.3429,119.5,0.4492,,,
Brian Baker,0.7219,0.4457,309.6,0.3034,106.8,0.4336,,,
Daniel Munoz De La Nava,0.6727,0.5026,311.6,0.3443,116.8,0.4393,,,
Marton Fucsovics,0.5958,0.5132,289,,,,,,
Elias Ymer,0.6476,0.4901,300.2,0.3165,106.8,0.4047,,,
Marco Cecchinato,0.678,0.4827,314.5,0.3122,104.3,0.4221,,,
Franco Skugor,0.6908,0.4236,302.3,,,,,,
Pablo Andujar,0.6555,0.4387,293.4,0.3654,140.9,,,,
